TEFF   5777.  GRAVITY 4.44000 LTE 
TITLE ATLAS12                                                                   
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.92068 2 0.07836
 ABUNDANCE CHANGE  3 -10.99  4 -10.66  5  -9.34  6  -3.61  7  -4.21  8  -3.35
 ABUNDANCE CHANGE  9  -7.48 10  -4.11 11  -5.80 12  -4.44 13  -5.59 14  -4.53
 ABUNDANCE CHANGE 15  -6.63 16  -4.92 17  -6.54 18  -5.64 19  -7.01 20  -5.70
 ABUNDANCE CHANGE 21  -8.89 22  -7.09 23  -8.11 24  -6.40 25  -6.61 26  -4.54
 ABUNDANCE CHANGE 27  -7.05 28  -5.82 29  -7.85 30  -7.48 31  -9.00 32  -8.39
 ABUNDANCE CHANGE 33  -9.74 34  -8.70 35  -9.50 36  -8.79 37  -9.52 38  -9.17
 ABUNDANCE CHANGE 39  -9.83 40  -9.46 41 -10.58 42 -10.16 43 -20.00 44 -10.29
 ABUNDANCE CHANGE 45 -11.13 46 -10.47 47 -11.10 48 -10.33 49 -11.24 50 -10.00
 ABUNDANCE CHANGE 51 -11.03 52  -9.86 53 -10.49 54  -9.80 55 -10.96 56  -9.86
 ABUNDANCE CHANGE 57 -10.94 58 -10.46 59 -11.32 60 -10.62 61 -20.00 62 -11.08
 ABUNDANCE CHANGE 63 -11.52 64 -10.97 65 -11.74 66 -10.94 67 -11.56 68 -11.12
 ABUNDANCE CHANGE 69 -11.94 70 -11.20 71 -11.94 72 -11.19 73 -12.16 74 -11.19
 ABUNDANCE CHANGE 75 -11.78 76 -10.64 77 -10.66 78 -10.42 79 -11.12 80 -10.87
 ABUNDANCE CHANGE 81 -11.14 82 -10.29 83 -11.39 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -12.02 91 -20.00 92 -12.58
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
 ABUNDANCE TABLE
    1H   0.920680       2He  0.078360
    3Li-10.990 0.000    4Be-10.660 0.000    5B  -9.340 0.000    6C  -3.610 0.000    7N  -4.210 0.000
    8O  -3.350 0.000    9F  -7.480 0.000   10Ne -4.110 0.000   11Na -5.800 0.000   12Mg -4.440 0.000
   13Al -5.590 0.000   14Si -4.530 0.000   15P  -6.630 0.000   16S  -4.920 0.000   17Cl -6.540 0.000
   18Ar -5.640 0.000   19K  -7.010 0.000   20Ca -5.700 0.000   21Sc -8.890 0.000   22Ti -7.090 0.000
   23V  -8.110 0.000   24Cr -6.400 0.000   25Mn -6.610 0.000   26Fe -4.540 0.000   27Co -7.050 0.000
   28Ni -5.820 0.000   29Cu -7.850 0.000   30Zn -7.480 0.000   31Ga -9.000 0.000   32Ge -8.390 0.000
   33As -9.740 0.000   34Se -8.700 0.000   35Br -9.500 0.000   36Kr -8.790 0.000   37Rb -9.520 0.000
   38Sr -9.170 0.000   39Y  -9.830 0.000   40Zr -9.460 0.000   41Nb-10.580 0.000   42Mo-10.160 0.000
   43Tc-20.000 0.000   44Ru-10.290 0.000   45Rh-11.130 0.000   46Pd-10.470 0.000   47Ag-11.100 0.000
   48Cd-10.330 0.000   49In-11.240 0.000   50Sn-10.000 0.000   51Sb-11.030 0.000   52Te -9.860 0.000
   53I -10.490 0.000   54Xe -9.800 0.000   55Cs-10.960 0.000   56Ba -9.860 0.000   57La-10.940 0.000
   58Ce-10.460 0.000   59Pr-11.320 0.000   60Nd-10.620 0.000   61Pm-20.000 0.000   62Sm-11.080 0.000
   63Eu-11.520 0.000   64Gd-10.970 0.000   65Tb-11.740 0.000   66Dy-10.940 0.000   67Ho-11.560 0.000
   68Er-11.120 0.000   69Tm-11.940 0.000   70Yb-11.200 0.000   71Lu-11.940 0.000   72Hf-11.190 0.000
   73Ta-12.160 0.000   74W -11.190 0.000   75Re-11.780 0.000   76Os-10.640 0.000   77Ir-10.660 0.000
   78Pt-10.420 0.000   79Au-11.120 0.000   80Hg-10.870 0.000   81Tl-11.140 0.000   82Pb-10.290 0.000
   83Bi-11.390 0.000   84Po-20.000 0.000   85At-20.000 0.000   86Rn-20.000 0.000   87Fr-20.000 0.000
   88Ra-20.000 0.000   89Ac-20.000 0.000   90Th-12.020 0.000   91Pa-20.000 0.000   92U -12.580 0.000
   93NP-20.000 0.000   94Pu-20.000 0.000   95Am-20.000 0.000   96Cm-20.000 0.000   97Bk-20.000 0.000
   98Cf-20.000 0.000   99Es-20.000 0.000
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.00305379E-04   3714.2 1.378E+01 2.410E+09 2.666E-04 8.732E-02 2.000E+05 0.000E+00 0.000E+00
 6.55236652E-04   3732.4 1.805E+01 3.101E+09 3.075E-04 9.574E-02 2.000E+05 0.000E+00 0.000E+00
 8.34982438E-04   3751.9 2.300E+01 3.893E+09 3.524E-04 9.958E-02 2.000E+05 0.000E+00 0.000E+00
 1.04455590E-03   3773.1 2.877E+01 4.807E+09 4.023E-04 1.014E-01 2.000E+05 0.000E+00 0.000E+00
 1.28955618E-03   3795.3 3.552E+01 5.868E+09 4.583E-04 1.022E-01 2.000E+05 0.000E+00 0.000E+00
 1.57657809E-03   3818.1 4.342E+01 7.101E+09 5.214E-04 1.022E-01 2.000E+05 0.000E+00 0.000E+00
 1.91311571E-03   3841.5 5.269E+01 8.536E+09 5.928E-04 1.016E-01 2.000E+05 0.000E+00 0.000E+00
 2.30785435E-03   3865.2 6.356E+01 1.021E+10 6.739E-04 1.006E-01 2.000E+05 0.000E+00 0.000E+00
